m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,it_pos,sr_pos,ir_pos,b_name
281,100000000,51.11,5s,5,3,3,1,3,1,BenchmarkParseBasicStringsEasy/21
282,100000000,50.81,5s,5,3,3,2,3,1,BenchmarkParseBasicStringsEasy/21
283,100000000,50.92,5s,5,3,3,3,3,1,BenchmarkParseBasicStringsEasy/21
284,100000000,50.94,5s,5,3,3,4,3,1,BenchmarkParseBasicStringsEasy/21
285,100000000,50.68,5s,5,3,3,5,3,1,BenchmarkParseBasicStringsEasy/21
286,196,30163120.0,5s,5,3,3,1,1,1,BenchmarkUnmarshalDataset/config
287,196,30113565.0,5s,5,3,3,2,1,1,BenchmarkUnmarshalDataset/config
288,190,30247535.0,5s,5,3,3,3,1,1,BenchmarkUnmarshalDataset/config
289,193,30255365.0,5s,5,3,3,4,1,1,BenchmarkUnmarshalDataset/config
290,194,30289042.0,5s,5,3,3,5,1,1,BenchmarkUnmarshalDataset/config
291,192,30326449.0,5s,5,3,3,1,2,1,BenchmarkUnmarshalDataset/config
292,189,30337861.0,5s,5,3,3,2,2,1,BenchmarkUnmarshalDataset/config
293,196,30730189.0,5s,5,3,3,3,2,1,BenchmarkUnmarshalDataset/config
